lon,lat
-73.8960604,40.8619176
-73.8924428,40.8676812
-73.9354804,40.5951303
-73.9992054,40.6273845
-73.942485,40.600369
-73.942485,40.600369
-73.942485,40.600369
-73.942485,40.600369
-73.942485,40.600369
-74.0058532,40.6328593
-73.9385079,40.6619133
-73.9080267,40.676295
-94.7053013,37.3961631
-95.6476584,36.697966
-95.6476584,36.697966
-73.9474919,40.7942981
-73.9474919,40.7942981
-73.93872,40.8446428
-73.9232107,40.8407936
-73.9063131,40.8293674
-73.9076753,40.874008
-73.9076753,40.874008
-73.906912,40.8622561
-73.9509272,40.7800581
-73.9781422,40.635536
-73.9509529,40.6551412
-73.7722859,40.7121489
-73.8424676,40.8972762
-73.8730341,40.7340424
-73.8730341,40.7340424
-73.9878326,40.7222717
-73.9878326,40.7222717
-73.9782978,40.7224747
-73.9792493,40.7228003
-73.9532034,40.774371
-73.971805,40.7928345
-73.9164633,40.8346706
-73.9164633,40.8346706
-73.9164633,40.8346706
-73.9164633,40.8346706
-73.8964143,40.8555204
-73.8982658,40.858474
-73.8595019,40.8939287
-73.960573,40.6064856
-73.9472379,40.7909485
-80.6873782,35.2116075
-73.9005745,40.6640405
-73.941589,40.701419
-73.8082442,40.7006884
-73.7810444,40.6809146
-73.726012,40.72424
-73.7242872,40.7338986
-73.7242872,40.7338986
-118.4825135,34.1866409
-73.9131066,40.6466536
-90.337883,38.647953
-73.9489953,40.7819943
-73.9640709,40.7701428
-73.9473,40.790366
-73.9562843,40.8081698
-73.9562843,40.8081698
-73.901722,40.8202659
-73.901722,40.8202659
-73.916851,40.8133756
-73.901722,40.8202659
-73.848109,40.8207375
-73.8676435,40.8563009
-73.8913461,40.8474742
-73.9722652,40.578466
-73.9959505,40.6250257
-73.9516775,40.6535886
-73.9296559,40.6378165
-73.9055262,40.6480007
-73.9373484,40.6642508
-73.9514606,40.7878021
-73.9131219,40.6574184
-73.9005569,40.6665472
-73.935454,40.6967744
-73.8493748,40.6852359
-73.9039781,40.8583924
-73.7242872,40.7338986
-73.7242872,40.7338986
-73.7242872,40.7338986
-73.7242872,40.7338986
4.5677117,48.7083223
-73.9272957,40.7383309
-74.0155621,40.7150499
-74.0155621,40.7150499
-74.0155621,40.7150499
-74.0155621,40.7150499
-74.0155621,40.7150499
-94.7053013,37.3961631
-73.8693067,40.8295953
-73.8809063,40.8258516
-73.8809063,40.8258516
-73.8311702,40.8824173
-97.7521641,30.2888558
-73.9984746,40.7453063
-73.9969443,40.7490938
-73.9615456,40.6030108
-73.9249383,40.6114881
-73.9969743,40.6262341
-73.9307926,40.6588052
-73.9822248,40.7563148
-73.8773983,40.6719971
-122.4069697,37.7974831
-73.9588524,40.6941093
-73.959483,40.7066299
-74.0854307,40.6441128
-74.0854307,40.6441128
-74.0854307,40.6441128
-74.0854307,40.6441128
-74.0854307,40.6441128
-74.1373134,40.6281982
-74.1373134,40.6281982
-74.0011677,40.7185138
-73.956822,40.8050482
-73.9472486,40.8115625
-73.9472486,40.8115625
-73.9011259,40.836817
-73.9034163,40.8488545
-73.9189577,40.8485852
-73.9189577,40.8485852
-73.9189577,40.8485852
-73.9189577,40.8485852
-73.9189577,40.8485852
-73.8989976,40.8654302
-73.9888676,40.5742968
-73.9361428,40.594527
-73.9847724,40.7692123
-73.914301,40.637957
-73.9540605,40.7754782
-73.9085325,40.6733805
-70.153411,44.9607962
-73.958177,40.67474
-73.7972683,40.5966508
-73.8052147,40.7062269
-73.788535,40.72826
-73.8172822,40.5856599
-73.8172822,40.5856599
-73.769544,40.6837389
-73.8842834,40.7559201
-84.670547,39.1978633
-73.96032,40.773008
-73.9509272,40.7800581
-73.9434312,40.7981523
-73.9447641,40.793322
-73.9453045,40.7912884
